,id,brand,title,sold_price,actual_price,url,img
867,868,HRX by Hrithik Roshan,Walking Shoes For Women,"₹1,914","₹5,599",https://www.flipkart.com/hrx-hrithik-roshan-walking-shoes-women/p/itmbc72c63c9d70a?pid=SHOG6FNBDDCJQMYA&lid=LSTSHOG6FNBDDCJQMYASQTEEW&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_28&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=en_QhmAFBwUSQwbzVjUZeGHxeHipAFKUW6zzYOo4LsE11n1r7XeJL1X4UZdEtYpaQm7VNCeqbQZjc4MGdU4to0%2FSA%3D%3D&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/kylvr0w0/shoe/4/p/x/-original-imagasu5sfer6sxh.jpeg?q=70
868,869,PREKANZO,Sneakers For Women,₹338,₹999,https://www.flipkart.com/prekanzo-sneakers-women/p/itmb5721cb6c9b63?pid=SHOFTH5UPXGZZUYP&lid=LSTSHOFTH5UPXGZZUYPJKCNN4&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_29&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOFTH5UPXGZZUYP.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/knhsgi80/shoe/a/e/h/3-chameli-pink-3-prekanzo-pink-original-imag25ngmrs3y2kr.jpeg?q=70
869,870,ASIAN,"Melody-71 Black Sports,Slip-On,Training,Gym, Slip On Sn...",₹289,₹699,https://www.flipkart.com/asian-melody-71-black-sports-slip-on-training-gym-slip-sneakers-women/p/itm13aecdbc4db55?pid=SHOGBTZZVZZYEBNH&lid=LSTSHOGBTZZVZZYEBNHKVRXLT&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_30&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOGBTZZVZZYEBNH.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/kzx1a4w0/shoe/s/d/f/4-melody-71cblack-asian-black-original-imagbtzyghrghcqc.jpeg?q=70
870,871,PUMA,Carina Lift Shadow Sneakers For Women,"₹2,959","₹5,499",https://www.flipkart.com/puma-carina-lift-shadow-sneakers-women/p/itm0b9997470ebb0?pid=SHOG9UGGRUEFFHPJ&lid=LSTSHOG9UGGRUEFFHPJLUGLHB&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_31&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=en_QhmAFBwUSQwbzVjUZeGHxeHipAFKUW6zzYOo4LsE11ngvNGR4WvS8BPzKkxFgMZHz6z5UuCXOm%2FYgOCAcjnwTQ%3D%3D&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/ky3b0y80/shoe/m/p/3/6-5-381915-6-5-puma-white-festival-fuchsia-peach-pink-original-imagaea2zt9egbgq.jpeg?q=70
871,872,SWIGGY,"Casual Belly,Slip-On,Canvas,For Women (1543) Loafers Fo...",₹239,₹499,https://www.flipkart.com/swiggy-casual-belly-slip-on-canvas-for-women-1543-loafers/p/itmbe312492c6068?pid=SHOFQE8UFA67FGAV&lid=LSTSHOFQE8UFA67FGAVWX9GQM&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_32&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=en_QhmAFBwUSQwbzVjUZeGHxeHipAFKUW6zzYOo4LsE11n6usIUTsvRAcNCyxMmqrjW9XGlV13U7bxYkskmNn3bUw%3D%3D&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/k55n0y80/shoe/x/9/p/orifwsh-1543-7-oricum-grey-original-imafnhghzkyhz4ta.jpeg?q=70
872,873,CAMPUS,MATTY Running Shoes For Women,₹789,₹999,https://www.flipkart.com/campus-matty-running-shoes-women/p/itm4cc01e1b42efb?pid=SHOG2HZ66MWRZFXQ&lid=LSTSHOG2HZ66MWRZFXQMT0RVX&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_33&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOG2HZ66MWRZFXQ.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/knxiavk0/shoe/t/s/h/5-matty-campus-gry-original-imag2hz6z9szyetb.jpeg?q=70
873,874,KADY,Leather Casual Stylish Look Boots Shoes Boots For Women,₹235,₹999,https://www.flipkart.com/kady-leather-casual-stylish-look-boots-shoes-women/p/itm84f1c5e5f68a1?pid=SHOFZ5F4YPGYDMTD&lid=LSTSHOFZ5F4YPGYDMTDYNJ2CP&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_34&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOFZ5F4YPGYDMTD.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/k5y7tzk0/shoe/n/g/e/dss-96612-black-38-d-sneakerz-black-original-imafhtkjddcyg4z9.jpeg?q=70
874,875,VENDOZ,Sneakers For Women,₹438,₹999,https://www.flipkart.com/vendoz-sneakers-women/p/itm6c24b909b7d07?pid=SHOFZQZ8JKRD8ZZF&lid=LSTSHOFZQZ8JKRD8ZZFNNMUHI&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_35&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOFZQZ8JKRD8ZZF.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/kjom6q80-0/shoe/p/3/t/cnv6006-vendoz-white-original-imafz7e4eywrxdph.jpeg?q=70
875,876,REEBOK,Energy Runner 2.0 W Running Shoes For Women,"₹1,319","₹2,299",https://www.flipkart.com/reebok-energy-runner-2-0-w-running-shoes-women/p/itmfc3690a0ecc00?pid=SHOG4YZNJTJHZSXG&lid=LSTSHOG4YZNJTJHZSXGHWWLUX&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_36&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOG4YZNJTJHZSXG.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/kx25ksw0/shoe/0/n/v/-original-imag9hgz5kpgvfzk.jpeg?q=70
876,877,PUMA,Rift Wns Running Shoes For Women,"₹1,697","₹4,499",https://www.flipkart.com/puma-rift-wns-running-shoes-women/p/itmc899df7e5558d?pid=SHOG6P4BMASWXVVZ&lid=LSTSHOG6P4BMASWXVVZUN5TL0&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_37&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=en_QhmAFBwUSQwbzVjUZeGHxeHipAFKUW6zzYOo4LsE11lFxtkraW75pr%2BYkEpSQ13R4woil6Ni2qx1C1yqHSnpNw%3D%3D&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/kuef2q80/shoe/b/x/m/3-386805-3-puma-mist-green-beetroot-purple-white-original-imag7j82mvzpt2sd.jpeg?q=70
877,878,PUMA,Comfort Wns Slipon V2 Walking Shoes For Women,"₹1,959","₹4,499",https://www.flipkart.com/puma-comfort-wns-slipon-v2-walking-shoes-women/p/itma96d8d91e2d2e?pid=SHOG6GCX3AFGG4BY&lid=LSTSHOG6GCX3AFGG4BY8KCE6Q&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_38&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=en_QhmAFBwUSQwbzVjUZeGHxeHipAFKUW6zzYOo4LsE11nnNSJJ8eOMaKI%2FZN3JogFXIrqHbHpbqUmFaW4gEI8Mwg%3D%3D&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/ktyp8cw0/shoe/y/5/s/5-386914-5-puma-eggshell-blue-white-original-imag767p2885r8gd.jpeg?q=70
878,879,aadi,Running Shoes Running Shoes For Men,₹417,₹999,https://www.flipkart.com/aadi-running-shoes-men/p/itmaa3bf24a21cae?pid=SHOFU45ANVPSGZTM&lid=LSTSHOFU45ANVPSGZTMXHTJLO&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_39&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOFU45ANVPSGZTM.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/kd4uj680/shoe/l/p/8/mrj1442-9-aadi-maroon-original-imafu455uchvekup.jpeg?q=70
879,880,ASIAN,Cute sports shoes for women | Running shoes for girls s...,₹518,₹649,https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3QZSZZY6HK&lid=LSTSHOEEF3QZSZZY6HKUOD4Q2&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_40&otracker=nmenu_sub_Women_0_Shoes&fm=organic&iid=b4b67e8a-37d1-4a54-a08c-f9fb1a2aa797.SHOEEF3QZSZZY6HK.SEARCH&ppt=None&ppn=None&ssid=yntbdfsqc00000001652877351928,https://rukminim2.flixcart.com/image/612/612/k45x0nk0/shoe/y/x/j/kiwi01cblkgry-cuteclgrypnk-7-asian-multicolor-original-imae7jdsu92ejxdq.jpeg?q=70
880,881,Minark,WOMEN CASUAL LOAFERS Bellies For Women,₹389,₹999,https://www.flipkart.com/minark-women-casual-loafers-bellies/p/itm5cabf18524562?pid=SHOGE3SFVRVZNWVP&lid=LSTSHOGE3SFVRVZNWVPSUBCH4&marketplace=FLIPKART&store=osp%2Fiko%2F974&srno=b_1_1&otracker=nmenu_sub_Women_0_Ballerinas&fm=organic&iid=en_Wi6HAO3r9Oaxp6BryooR7Ty4NYVYy0DsQtmyPeKvFq8Eh%2BmvXH1BUsM4CH49P6fL0sBzRlI0uiEp3xThEVblig%3D%3D&ppt=None&ppn=None&ssid=ss38sryq400000001652877375769,https://rukminim1.flixcart.com/image/612/612/l2urv680/shoe/u/8/o/3-m49-minark-yellow-original-image3sfhh3qgfyu.jpeg?q=70
